label x y z xscale yscale zscale xrot yrot zrot
car 8.879403097778694 1.4590540596509598 -40.11534366670265 1.5900415182113647 1.6650091409683228 4.0577392578125 -90 0 -390.8634209659053
car 12.345088150113705 1.2672211052546203 -42.44573981711731 1.4722830057144165 1.6561040878295898 4.144317626953125 -90 0 -391.824679395989
truck -3.5540739518764366 1.5704997838899857 -23.58157136537964 3.3544466495513916 2.6700758934020996 10.495890617370605 -90 0 -374.6783537333113
car 15.517655092736748 1.23617590465457283 -46.97775745547535 1.5146032571792603 1.6415350437164307 3.9704437255859375 -90 0 -391.13259668233707
sidewalk 11.22112742412864 0 -41.036203384399414 5 5 40 0 -30 0
sidewalk 10.50226201460764 0 -12.7083635330200195 5 5 50 0 -45 0
sidewalk -6.50226201460764 0 -34.7083635330200195 5 5 50 0 -15 0
sidewalk 56 0 -31.7083635330200195 5 5 50 0 -45 0
vegetation -9 4 -20 2 4 2 0 0 0
vegetation -10 4 -18 2 4 2 0 0 0
vegetation -11 4 -16 2 4 2 0 0 0
vegetation -13 4 -14 2 4 2 0 0 0
vegetation -9 4 -26 2 4 2 0 0 0
vegetation -9 4 -22 2 4 2 0 0 0
vegetation -9 4 -24 2 4 2 0 0 0
vegetation -9 4 -26 2 4 2 0 0 0
vegetation -9 4 -28 2 4 2 0 0 0
vegetation -9 4 -30 2 4 2 0 0 0
vegetation -9 4 -32 2 4 2 0 0 0
vegetation -9 4 -33 2 4 2 0 0 0
vegetation -9 4 -34 2 4 2 0 0 0
vegetation -9 4 -35 2 4 2 0 0 0
vegetation -9 4 -36 2 4 2 0 0 0
vegetation -9 4 -37 2 4 2 0 0 0
vegetation -9 4 -38 2 4 2 0 0 0
vegetation -9 4 -39 2 4 2 0 0 0
vegetation -9 4 -40 2 4 2 0 0 0
vegetation -9 4 -41 2 4 2 0 0 0
vegetation -9 4 -42 2 4 2 0 0 0
vegetation -9 4 -43 2 4 2 0 0 0
vegetation -9 4 -44 2 4 2 0 0 0
vegetation -9 4 -45 2 4 2 0 0 0
vegetation -9 4 -46 2 4 2 0 0 0
vegetation -9 4 -47 2 4 2 0 0 0
vegetation -9 4 -48 2 4 2 0 0 0
vegetation -9 4 -49 2 4 2 0 0 0
vegetation -9 4 -50 2 4 2 0 0 0
vegetation -9 4 -51 2 4 2 0 0 0
vegetation -9 4 -52 2 4 2 0 0 0
vegetation -2 4 -53 2 4 2 0 0 0
vegetation -3 4 -57 2 4 2 0 0 0
vegetation -1 4 -60 2 4 2 0 0 0
vegetation -2 4 -67 2 4 2 0 0 0
vegetation -4 4 -70 2 4 2 0 0 0
vegetation -7 4 -80 2 4 2 0 0 0
vegetation 8.879403097778694 4 -80.11534366670265 2 4 2 0 0 0
vegetation 12.345088150113705 4 -82.44573981711731 2 4 2 0 0 0
vegetation 6.517655092736748 4 -88.97775745547535 2 4 2 0 0 0
vegetation 4.879403097778694 4 -80.11534366670265 2 4 2 0 0 0
vegetation 2.345088150113705 4 -88.44573981711731 2 4 2 0 0 0
vegetation 78.16247738412086 4 -63.46657943725586 2 4 2 0 0 0
vegetation 80.16247738412086 4 -60.46657943725586 2 4 2 0 0 0
vegetation 84.16247738412086 4 -59.46657943725586 2 4 2 0 0 0
vegetation 86.16247738412086 4 -58.46657943725586 2 4 2 0 0 0
vegetation 89.16247738412086 4 -61.46657943725586 2 4 2 0 0 0
