label x y z xscale yscale zscale xrot yrot zrot
car 7.675337456015306 1.3133014524442181 -11.240241574877437 1.4315160512924194 1.586570143699646 3.5553903579711914 -90 0 -166.85724429409582
car -0.2618465791000663 1.5814313053601907 -19.94821769324947 1.4833723306655884 1.6544444561004639 4.296005725860596 -90 0 -369.5523807480076
car 5.658237369019973 1.645778004164006 -15.89854333239552 1.509778618812561 1.6225816011428833 3.6064107418060303 -90 0 -193.95857055520317
car -2.393075671415297 1.7412272348119195 -12.090189119353683 1.488987684249878 1.6420681476593018 4.063615798950195 -90 0 -367.08950421877977
car 15.174403048945354 1.20140260004802713 -67.59943741838723 1.4902153015136719 1.615593433380127 3.944206476211548 -90 0 -409.57949875448804
car 7.1738100828278855 1.714831609896553 -23.463304552628834 1.5163229703903198 1.6076653003692627 3.4948458671569824 -90 0 -190.05884915208517
car 4.337865771520472 1.13447369620047311 -41.29917359031948 1.4873846769332886 1.6071981191635132 3.7407026290893555 -90 0 -375.1129061949165
car 9.344196649074966 1.2919038738817221 -34.299629297076606 1.508834958076477 1.6281981468200684 3.435514450073242 -90 0 -197.55006913633612
vegetation -6.8107527917973165 4 -16.81832292344835 2 4 2 0 0 0
vegetation -4.8107527917973165 4 -18.81832292344835 2 4 2 0 0 0
vegetation -2.8107527917973165 4 -20.81832292344835 2 4 2 0 0 0
vegetation -2 4 -24.818322923448352 4 2 0 0 0
vegetation -1.7 4 -30.81832292344835 2 4 2 0 0 0
vegetation -1 4 -34.81832292344835 2 4 2 0 0 0
vegetation -0.6 4 -38.81832292344835 2 4 2 0 0 0
vegetation 1 4 -42.81832292344835 2 4 2 0 0 0
vegetation 4 4 -48.81832292344835 2 4 2 0 0 0
vegetation 5 4 -60.81832292344835 2 4 2 0 0 0
vegetation 10 4 -66.81832292344835 2 4 2 0 0 0
vegetation 11 4 -68.81832292344835 2 4 2 0 0 0
vegetation 13 4 -69.81832292344835 2 4 2 0 0 0
vegetation -15.8107527917973165 4 -18.81832292344835 2 4 2 0 0 0
vegetation -15.8107527917973165 4 -18.81832292344835 2 4 2 0 0 0
vegetation -15.8107527917973165 4 -18.81832292344835 2 4 2 0 0 0
vegetation -15.8107527917973165 4 -18.81832292344835 2 4 2 0 0 0
vegetation -17.8107527917973165 4 -14.81832292344835 2 4 2 0 0 0
building 20.5260903550774065 8 -20.548452377319336 4 8 30 0 10 0
building -47.1006044223326 2 -33.949649810791016 2 2 5 0 -15 0
building -57.1006044223326 2 -33.949649810791016 8 8 15 0 -15 0
sidewalk -1.525841852687664 0 -19.25165939331055 7 0 30 0 -15 0
sidewalk 5.025841852687664 0 -48.25165939331055 20 0 30 0 -25 0
sidewalk 9.344196649074966 0 -14.29962929707660 7 0 40 0 -5 0
sidewalk -37 0 -34.324006080627441 25 0 40 0 -15 0
vegetation -40.8107527917973165 8 -44.81832292344835 4 8 4 0 0 0
vegetation -38.8107527917973165 8 -46.81832292344835 4 8 4 0 0 0
vegetation -36.8107527917973165 8 -48.81832292344835 4 8 4 0 0 0
vegetation -42.8107527917973165 8 -42.81832292344835 4 8 4 0 0 0
vegetation -44.8107527917973165 8 -40.81832292344835 4 8 4 0 0 0
vegetation -46.8107527917973165 8 -38.81832292344835 4 8 4 0 0 0
vegetation -40.8107527917973165 8 -50.81832292344835 4 8 4 0 0 0
vegetation -42.8107527917973165 8 -52.81832292344835 4 8 4 0 0 0
vegetation -44.817527917973165 8 -54.81832292344835 4 8 4 0 0 0
vegetation -46.8107527917973165 8 -58.81832292344835 4 8 4 0 0 0
