label x y z xscale yscale zscale xrot yrot zrot
car1 -30 5 -0 13.2 13.2 13.2 -90 0 90
car1 -30 5 -27 13.2 13.2 13.2 -90 0 90
car2 -31 6.5 -60 16.5 16.5 16.5 -90 100 -0
car2 -31 6.5 -95 16.5 16.5 16.5 -90 0 -0
car1 -25 5 -125 13.2 13.2 13.2 -90 0 90
car1 -25 5 -155 13.2 13.2 13.2 -90 0 90
car2 -22 6.5 -190 16.5 16.5 16.5 -90 0 -0
car2 -22 6.5 -225 16.5 16.5 16.5 -90 0 -0
car1 -25 5 -255 13.2 13.2 13.2 -90 0 90
car1 -25 5 -285 13.2 13.2 13.2 -90 0 90
car2 40 6.5 0 16.5 16.5 16.5 -90 0 -180
car1 40 5 -33 13.2 13.2 13.2 -90 0 -90
car2 40 6.5 -60 16.5 16.5 16.5 -90 0 -180
car1 40 5 -93 13.2 13.2 13.2 -90 0 -90
car1 40 5 -115 13.2 13.2 13.2 -90 0 -90
car1 40 5 -155 13.2 13.2 13.2 -90 0 -90
car2 37 6.5 -190 16.5 16.5 16.5 -90 0 -180
car2 37 6.5 -225 16.5 16.5 16.5 -90 0 -180
car1 40 5 -255 13.2 13.2 13.2 -90 0 -90
car1 40 5 -285 13.2 13.2 13.2 -90 0 -90
car2 37 6.5 -325 16.5 16.5 16.5 -90 0 -180
person 25 7 -80 6.6 6.6 6.6 0 90 0
person 17 7 -150 6.6 6.6 6.6 0 90 0
person 17 7 -170 6.6 6.6 6.6 0 90 0
building 100 80.9683 -0 80.9683 80.9683 80.9683 0 0 0
building 100 61.3529 -22 61.3529 61.3529 61.3529 0 0 0
building 100 78.4564 -44 78.4564 78.4564 78.4564 0 0 0
building 100 79.1314 -66 79.1314 79.1314 79.1314 0 0 0
building 100 84.1125 -88 84.1125 84.1125 84.1125 0 0 0
building 100 52.6923 -110 52.6923 52.6923 52.6923 0 0 0
building 100 58.7498 -132 58.7498 58.7498 58.7498 0 0 0
building 100 77.8021 -154 77.8021 77.8021 77.8021 0 0 0
building 100 56.2221 -176 56.2221 56.2221 56.2221 0 0 0
building 100 68.3747 -198 68.3747 68.3747 68.3747 0 0 0
building 100 65.0055 -220 65.0055 65.0055 65.0055 0 0 0
building 100 71.6703 -242 71.6703 71.6703 71.6703 0 0 0
building 100 60.0505 -264 60.0505 60.0505 60.0505 0 0 0
building 100 66.5896 -286 66.5896 66.5896 66.5896 0 0 0
vegetation -50 85.8981 -0 85.8981 85.8981 85.8981 0 0 0
vegetation -50 84.3126 -55 84.3126 84.3126 84.3126 0 0 0
vegetation -50 71.9713 -110 71.9713 71.9713 71.9713 0 0 0
vegetation -50 75.5611 -165 75.5611 75.5611 75.5611 0 0 0
vegetation -50 50.2305 -220 50.2305 50.2305 50.2305 0 0 0
vegetation -50 70.7066 -275 70.7066 70.7066 70.7066 0 0 0
vegetation -50 44.7172 -330 44.7172 44.7172 44.7172 0 0 0
